query_index,query_tweet_id,gold_intent,query_text,rank,similarity,retrieved_customer_tweet_id,retrieved_agent_tweet_id,retrieved_customer_text,retrieved_agent_response
74,1622175,DELIVERY_DELAY,"@AmazonHelp Delivery date doesn't matter: if it doesn't fit in the mailbox, post office won't deliver. Supposed to be delivered by today, which is what everything points to.",1,0.8325815200805664,1306759,1306760,@AmazonHelp Delivery was supposed to be today but that didn’t actually happen as it never left the post office.,@425369 I'm sorry it's late! Typically late orders arrive the next day. If yours doesn't reach us here: https://t.co/hApLpMlfHN ^RM
75,1409074,ORDER_PRODUCT,@AmazonHelp But the price is too high than its MRP. It's illegal. Please check with seller why he is violating the rule.,1,0.8681573867797852,1568164,1568165,"@AmazonHelp But it is against the rules, no one can sell a product higher than its MRP",@483868 The MRP difference could come up owing to multiple factors. Kindly refer: https://t.co/sCIitJQmEh for more information. ^MO
76,420447,OTHER,@AmazonHelp You may contact me at +91 9029558838,1,0.9692783355712891,1166672,1166673,@AmazonHelp You can contact me on 9182676462 also,"@394428 Also, please don't provide your contact details as its personal info. Our Twitter page is visible to the public. 3/3 ^AB"
77,2612267,DELIVERY_DELAY,@AmazonHelp If you followed up I received late a day #I paid for next day Total failure on customer service and absolutely NO Follow UP #,1,0.8621097803115845,2434841,2434840,@AmazonHelp I have waited 4 days for a reply from support that never came after order was cancelled - no reason. So dissapointed @ service,"@698661 I'm sorry for the trouble! Without giving account information, can you please tell us what's going on? We'd like to help! ^KJ"
78,2985519,OTHER,@115821 has the best customer service! Thank you for valuing me as a customer 💛 https://t.co/RLLiYy1kbT,1,0.9222981929779053,2281091,2281090,@115821 has hands down the best customer service! 🙌🙌🙌,@663077 Aww! 😍 Thank you for sharing your feedback with us! It's customers like you that keep us going. 😁 ^KB
79,2877043,DELIVERY_FAILURE,"The look on @225394 face when she opened her birthday package I ordered from @115821 and it was EMPTY, her face left me traumatized.",1,0.6388261914253235,1850707,1850706,@115821 screwed up my wife's birthday by delivering an empty box.,"@554007 Hi Liam, sorry to hear this! Please get in touch here: https://t.co/hApLpMlfHN and we'll investigate this. ^RL"
80,2939013,OTHER,@AmazonHelp @812327 Mi è sembrato di vedere un gatto (cit.),1,0.741578221321106,1228654,1228652,"@AmazonHelp @408245 zu machen sein, oder?",@408244 Du kannst es gern mal beim 🎅 probieren. Wir können dir hier leider nicht helfen 😉 ^DS
81,985097,OTHER,@115821 Ok do it on urgent basis two order from Lipika Roy account last four numbers are 1927 and 3928..,1,0.6302288770675659,218996,218994,@115821 hey um I didn’t get all of my order..,@168216 Thanks for reaching out to us here. Were all the items arriving in the same order: https://t.co/q4LAMZ3tbE? ^GG
82,331237,DIGITAL_CONTENT,@AmazonHelp I want to watch blade runner,1,0.7109558582305908,802341,802343,@AmazonHelp I am watching it on a browser. https://t.co/a9Pl1naMwr,@311192 Please try clearing any cookies or use different browser.^HS
83,693873,DELIVERY_TRACKING,@AmazonHelp It's actually on Amazon Germany so that link doesn't help 😉 The expected delivery date was yesterday. The slight delay is okay but I don't understand why it's apparently in the US when it was in Germany yesterday and is coming to Switzerland?,1,0.7323877811431885,2874101,2874100,@AmazonHelp it was supposed to come today at around 1PM. Saw that my delivery was next and now delayed??? https://t.co/Vlp4XxhqRl,"@797912 I'm sorry to see your order was delayed! I'd like a member of our Amazon Logistics team to look into this with you further. When you have a moment, please add additional details here: https://t.co/0v1fkdpZwB ^ML"
84,812374,DELIVERY_DELAY,"Amazon told me my items are coming on Monday which I was happy with. Amazon app just sent me a notification that everything is coming today instead. 

I swear it’s the small things that really make your day. I love you @115821 😭😭😭",1,0.7630699276924133,662649,662651,@AmazonHelp All of my items were supposed to be here yesterday and it says they aren’t coming until the 22nd - the 25th. That’s some bullshit honestly,"@277880 Have you had a chance to look at the link ^LJ provided? If so, which carrier is delivering it? ^LI"
85,279369,OTHER,@AmazonHelp Thanks ...request you to please expedite the process that will really b helpful... thanks,1,0.9468628168106079,320052,320054,@AmazonHelp I have shared the details again.. Looking forward for a help at least. . I just want to expedite the process plz help.,"@192278 Thanks for sharing your details, Akash. We have received them and are working on it. We'll reach out to you soon. ^SA"
86,2680825,DELIVERY_DELAY,@AmazonHelp I don’t want to return. I want it. And I want it on time. It’s my sons first Halloween. That’s why I pay for prime and then paid 1 day ship,1,0.7879101634025574,571739,571741,"@AmazonHelp It's been ""out for delivery"" twice now. I pay for Prime :(
If I'd known I had to wait 4 days I would have gone to store myself or ordered elsewhere.",@254321 Please keep us updated on the delivery. We want to ensure it arrives. ^RR
87,348550,OTHER,@AmazonHelp Great to see such a fast response,1,0.939525306224823,2187340,2187343,@AmazonHelp I appricate the fast response tho.,@640545 We are here if you need help. ^PK
88,2604933,SUPPORT_COMPLAINT,"@AmazonHelp I spoke with rep. again, and all they have said is that they've begun an investigation and I can hear back from them in 3-5 business days. This is extremely disappointing. I'd be grateful if you could expedite the process. Order #: 404-2925739-5193901",1,0.8056410551071167,2353841,2353842,@AmazonHelp I emailed the seller on the 4th Nov when it first happened! I was also told on the 5th that you were going to contact them! I have been waiting on a reply from them/you since then &amp; have heard nothing. I have done everything possible on my end &amp; have had no help from you!,@486604 I understand your frustration! I'd like to have a member of our team look into this for you! Could you provide your order details here: https://t.co/VVg8W0fTU4 ^AR
89,2390428,OTHER,"@AmazonHelp Suma y sigue, comprado ayer por la noche, que pasada de rapidez.... 👍🏻 https://t.co/21SdnjGjcQ",1,0.79314124584198,1736218,1736219,"@AmazonHelp No, una compra escondida jajaja. Gracias igual por la rapidez :)","@135812 Jaja de vez en cuando no cae mal una compra en Amazon, no😅? ¡Y de nada!  ^MB https://t.co/qy1D4jc7KA"
90,2679212,SUPPORT_COMPLAINT,@115821 quero resposta,1,0.8066796064376831,1108275,1108274,@115821 aiuda porfavoh,"@381559 HolaJoaquín, ¿podrías indicarnos si el libro es vendido y gestionado por Amazon o por un vendedor externo? ^VL"
91,1433644,DELIVERY_FAILURE,@115850 Now I have placed order again but this time I will have pay ₹100/more for the mistake which was not mine but by delivery boy. https://t.co/6juUHXFMIZ,1,0.8195863962173462,2304234,2304233,"@115850 I ordered an item of ₹2090 but it was not good in terms of quality, so I requested for refund. I got update from amazon to refund successfully on 7th of Nov 2017. But, I didn’t get this amount in my bank account so far. It’s ridiculous service with fake commitments.🤔","@609982 That is quite a remark and very unusual, Ricky. My apologies. Please reach out to us via: https://t.co/r1xTg3ma4W and we will have this checked. ^KS"
92,914147,SUPPORT_COMPLAINT,"@AmazonHelp what reply u expect.
22 days have passed but i'm waiting...
#unhappinessguaranteed",1,0.7490975856781006,294276,294277,@AmazonHelp Wait for how long. 21 days already..,@185733 We apologize for the stretch. We'll ensure to close the issue at the earliest ^CB
93,994227,DELIVERY_FAILURE,Hey @115821 : nice delivery. 🙄 https://t.co/NJ5bvkYs66,1,0.8790663480758667,1173900,1173898,Hey @115821 your delivery people are doing a great job 👎 https://t.co/euPaBH2KH9,"@396107 Oh no, Skylar! Were any items damaged? Please confirm the carrier under your order using this link: https://t.co/Y5jpI9ys9c ^LA"
94,2827203,DIGITAL_CONTENT,@AmazonHelp @787478 C’est quoi ^YL ?,1,0.8433648943901062,98603,98605,@AmazonHelp C’est : C10054694003,"@137580 Vous m'en voyez sincèrement navrée, afin qu'on puisse remonter cet incident, je vous prie de remplir le formulaire suivant : https://t.co/HtUowg2UGX ^ASZ"
95,2718526,RETURN,@AmazonHelp never thought amazon to turn out to be such a disappointment. If i have to get into the hassle of turning my orders then tell me one good reason why should i buy it from amazon? my Order id is 405-2289130-0737900,1,0.7349405884742737,2131800,2131804,@AmazonHelp Why should I go to them? I got it from amazon,@627377 I understand your concern. We'd like to look into it. Kindly report it to our support team 1/2 ^AP
96,416675,OTHER,"@AmazonHelp WTFwhy do I keep getting a error with my account saying""there was a problem your password is not correct I havereset the thing 5",1,0.881507396697998,2771666,2771664,@AmazonHelp Dear  I have problems when entering my account at every moment it indicates  that I have a password error to whom I can send an email to support  thanks,"@774756 Hello, Paul. Have you tried to reset the password selecting the option ""Olvidaste tu contraseña""? ^DB"
97,1117976,PAYMENT,"@115850 @115821 @115851 @123288 @39424 Even after 36 hours, COD still blocked. #shameless #racist #arrogant https://t.co/3ZWKHBTqo4",1,0.709326982498169,144013,144011,@115821 @115850 @AmazonHelp @115850 So u have blocked me and didnot give any reason and now u have blocked cod facillity for me .. is it just because(1/2),@148568 That's unusual! Please report this to our support team via chat or email here: https://t.co/vlvfJr4nN9. We'll get this fixed. ^BS
98,2534511,TECHNICAL,@AmazonHelp Yes. It persists. They work on my phone.,1,0.714073657989502,2703151,2703150,"@AmazonHelp On my phone, with the Amazon app installed, but not for much longer if these keep popping up.","@641607 Oh no! Follow these steps to turn off those notifications: 1. Open Amazon App 2. Select the three horizontal lines in the top left corner 3. Scroll down and select ""settings"" 4. Select ""Notifications"" 4. Turn off ""Your recommendations"" ^BE"
99,432317,DELIVERY_DELAY,@AmazonHelp What kind of sorry? 4 to10 oct 6 days me nahi hopaya kya apse delivery. Customer ki time kya koi valu nahi hai kya?,1,0.6982666850090027,21564,21565,@AmazonHelp Chutiya Hai Kya tu...from yesterday u guys are delivering? Madarchod,@120701 I understand you are yet to receive your order. Please wait for our team to reach out to you soon. ^VM
100,2600817,PRIME,Amazonプライム、お試し登録してたの忘れてて気づいたら正会員になっててお金引き落とされてたけど来年もたぶん解約するの忘れるんだろうなぁ,1,0.8693110942840576,612059,612058,amazonプライム退会するの忘れてお金引き落とされた...,@265538 キャンセルをご希望の場合はリンクをご参照ください。https://t.co/JrKFIybs6n  更新後に特典の利用がなければ全額返金いたします。なお、プライムでは以下のような特典をご用意しています。https://t.co/FJh7vAncqv TN
101,385325,SUPPORT_COMPLAINT,@AmazonHelp I did this and no response.,1,0.9751411080360413,226310,226311,@AmazonHelp I did that but no response,@170029 Thank you for providing your details. We will get back at the earliest.^SB
102,849774,SUPPORT_COMPLAINT,@AmazonHelp Connected.. the India Helpdesk confirmed that th the US helpdesk will call.. didn’t!! Emails sent.. replied with an auto response!! Super!,1,0.7996254563331604,2418899,2418900,@AmazonHelp Great question KK. It is the same! how can reach to India support?,"@694967 Please connect with our support team here: https://t.co/vlvfJr4nN9, and they'll assist you regarding this. ^NR"
103,843528,DELIVERY_DELAY,"@AmazonHelp Según decís, está “pendiente de envío”, y en varias ocasiones me habéis escrito para decirme que a va a retrasar 😔",1,0.7711422443389893,428238,428240,"@AmazonHelp Dice.... ""Entrega estimada hoy"" y ""Pendiente de envío""","@216855 Entiendo, el pedido ¿es vendido y gestionado por Amazon o es vendido por un vendedor externo? ^DA"
104,2262300,DELIVERY_DELAY,"@AmazonHelp I spoke to Thaddeus B., he was very helpful and spoke to @115817. I am hoping they deliver as promised.",1,0.7187606692314148,286294,286293,Way to go @115821 @AmazonHelp I guess I would eventually find this delivery. Your guys must be in a hurry @14458 https://t.co/vw9VluEz9e,@184203 Sorry about the poor experience. Can you let us know who the carrier was? You can find this info here: https://t.co/Y5jpI9gRhE ^AD
105,1306038,RETURN,"@AmazonHelp Thank you, I'm already in progress for return and I hope a refund. I just hope it doesn't get resent out to someone else.",1,0.8902542591094971,1516036,1516037,@AmazonHelp Finally the return was picked up and I got the refund. Thank you for the help.🙏🏻,@471743 Glad to know that you have received your refund. Thank you for keeping us posted. ^SB
106,282737,DELIVERY_FAILURE,Amazonのスーパーファミコンミニが届かない件はどうやら文字化け案件だったらしい。よりによってこんな時にやらかしてくれたな。,1,0.8445043563842773,281679,281677,"#Amazon で #ニンテンドークラシックミニスーパーファミコン 配送されてるのに住所が文字化けで返送だってよ。
別に日数は構わないから、確実に荷物届いてくれないかな","@183112 このたびは、ご迷惑をおかけし申し訳ございません。
本件についてご注文いただいたお客様に後日https://t.co/st4oU5QbhPよりご連絡を行わせていただきますため、そのご連絡をお待ちいただきますようお願いいたします。HM"
107,2752411,TECHNICAL,@AmazonHelp No problem. It’s been broken on that book for a long time. Need to see it before I buy.,1,0.8266559839248657,2313391,2313393,@AmazonHelp I've tried. The book isn't even showing up there.,@670841 We'd like to look into this for you. Please reach out to us via phone or chat here: https://t.co/beu5MLww2L for real-time troubleshooting. ^BE
108,1470350,PAYMENT,@AmazonHelp Ok! Je vais pouvoir commandé sur un autre site. Mais pourquoi ne pas utiliser simplement le service de sécurité des banques?? Dommage,1,0.7461807727813721,2487002,2487003,@AmazonHelp Avec en gros toutes mes infos bancaire ? C'est aberrant de proposer cela.. Seul l'opposition a Amazon reste sécurisé hélas..,"@710343 Je comprends parfaitement votre situation, mais comme indiqué précédemment le seul moyen pour débloquer votre compte par un spécialiste de compte est de nous envoyer ces documents. ^BR"
109,379393,ORDER_CHANGE,"@AmazonHelp La dernière fois que j'ai contacté le SAV pour une commande, j'ai demandé l'annulation et on m'a dit ""tout est OK"". Je l'ai qd-même reçue.",1,0.7400311827659607,2393481,2393483,"@AmazonHelp J'ai demandé l'annulation d'une commande, mais je vais surement annuler la seconde .. pouvez vous faire remonter le problème ?","@689143 Je comprends votre situation, et j'en suis navrée.
Nous ne manquerons pas de remonter l'information, sachez que c'est grâce à vos remontées que nos services s'améliorent.^FT"
110,1200325,OTHER,@AmazonHelp No no just seen all the bad reviews and stuff about the driver's stealing packages. I'm just a little worried is all.,1,0.6835572123527527,246358,246360,@AmazonHelp I keep filling out your forms to complain &amp; so far the same damn driver keeps coming and dropping my packages. Video proof &amp; nothing is done,@174521 I understand the frustration with this issue. Please provide the details at the previous link so we can look into this more. ^TR
111,465085,OTHER,@AmazonHelp Oh man her tail is twitching with excitement!,1,0.6848794221878052,180146,180147,@AmazonHelp Tired af!,@158390 I request you to kindly wait as our team is already checking on the issue and will get back to you with an update. ^RD
112,478564,REFUND,@AmazonHelp  I did visit moto service center they asked me that our jobsheet is our service denial letter and I sent it to you for 4 https://t.co/5Ku6Ag9D9q please start refund otherwise I will approach high court for protection of my consumer right.,1,0.6863452196121216,2269262,2269261,"@115821 my order number from amazon is ORDER # 402-8022915-2361169, moto authorized service number is No: SOIN__credit_card__...","@387617 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. Also, please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^SG"
113,2766316,ORDER_CHANGE,@115850 Shamshabad-RGIA area had been alloted a new pin code earlier this year. Not picking up when searching. Pls update - 500108. TY 🙏,1,0.6746302843093872,218189,218188,@115850 please make product available in Pincode 400072. https://t.co/YyWXuvaBUy,"@168020 Certain products cannot be shipped to few pin codes due to courier restrictions. 
I'll be sure to share your comments 1/2^OS"
114,2336104,SUPPORT_COMPLAINT,@115821 Your customer service is poor. Why don't you post customer service complaints? Your insurance provider and your service is poor.,1,0.8208481073379517,1519192,1519191,@115821 your customer service is CRAP,@472362 I'm sorry to hear you had a poor experience. Without giving account or order details can you tell us what happened? ^AN
115,1832097,DELIVERY_DELAY,"If @115821 can’t deliver a package within the same city in under two days, why do I pay for a Prime membership? https://t.co/xlPpKx0H5E",1,0.857801079750061,96812,96810,"@AmazonHelp why do I pay for Prime when my packages can’t be delivered in 2 days!? It’s literally in East Pete, PA...which is 15 minutes from my front door................ https://t.co/A28EiB4ihC","@137130 Hi Dan, apologies on the delay! During this busy period, some orders can experience slight delays. We totally understand the frustration, especially when you are waiting for the item. Please let us know if your order has not arrived this evening. ^JC."
116,1578401,DELIVERY_DELAY,@AmazonHelp @61924 Collector's Edition https://t.co/1F75ISH8k7 Been available since May no reason pre-orders shouldn't go out on time to customers.,1,0.8063615560531616,2282957,2282956,"@AmazonHelp @117086 and i'm currently waiting on a preorder, but its status haven't changed","@216571 Hi, please check this information here: https://t.co/b4tpkNxeFV . ^MB"
117,2915800,OTHER,@AmazonHelp Haha Watchmen sem medo de ser feliz,1,0.7457643151283264,62410,62408,"@AmazonHelp siiim, tava querendo ele já faz anos 💕💕💕","@130298 Verô, você sabe qual deles vai ler primeiro?. 📚😍📚 ^NB"
118,2612337,REFUND,"@AmazonHelp I wish to notify that I received the Items, yesterday  I was Complain due to Incomplete address , Items is Undelivered, Kindly Stop the refund,",1,0.7958661317825317,2613231,2613230,"@AmazonHelp At this point, I've requested a refund only to get a message asking me to return an item I've never received. 😡.","@738779 Hi, I'm sorry to hear this. What options did you choose when arranging the return on your account? ^KK"
119,2971977,OTHER,プライムナウとかいう神アプリで注文から2時間後に届いたHDDケース🙆🙆🙆早速入れ替える！ https://t.co/LJbQnlmiB1,1,0.8242489099502563,1603077,1603076,Amazonプライムで昔のモヤさま見れんの！？神か,@491993 お楽しみいただけたら幸いですm(*-ω-)m https://t.co/XQsWZviCbl RI
120,1364740,OTHER,@AmazonHelp That’s not what I’m getting at,1,0.9541175365447998,74822,74821,@AmazonHelp That's what I'm saying,"@132745 We'd really like to help you out, Srinu. However, I would request you to reply to the email sent from Social Media team in order to assist you further. ^SM"
121,145688,DELIVERY_DELAY,@115821 what happened to next day delivery i pay a subscription for next day delivery nothing is on next day why?,1,0.808073878288269,1541038,1541036,When you click next day delivery and your parcels are coming 2 and 4 days after you order them🙃 not what next day means is it @115821,"@477589 Hello Ash! Terribly sorry to hear about that. When you placed the order, what was the delivery date? Are we missing that? ^JD"
122,734643,SUPPORT_COMPLAINT,@AmazonHelp This link requires a log in password we have neither please for a contact telephone number and identify an individual to address this please,1,0.8377825617790222,633656,633657,"@AmazonHelp When i try to use the link provided, it asks for me to login?. I tried to login/change my password i get the  message. THERE WAS A PROBLEM, WERE SORRY. WE WERNT ABLE TO IDENTIFY YOU GIVEN THE INFORMATION PROVIDED.","@270198 Visit the skip sign in link provided by AG. Select ""I cannot sign in to my account."" A phone number will be displayed which you may use. Have you tried the number? ^SJ"
123,2540319,DELIVERY_FAILURE,@AmazonHelp Ok j'attends aujourd'hui j'irai voir à la poste demain avec le papier quand même si j'ai rien aujourd'hui ! Meeerci bcp pr votre aide bonne journée ☺,1,0.7406688928604126,2945507,2945505,@AmazonHelp Bonjour je dois recevoir ma commande aujourd'hui mais je voit qu'elle est en transit donc je pense ne pas l'avoir aujourd'hui...,"@813623 Bonjour, désolée d'apprendre cela :/ l'avez-vous signalé à notre SAV ? ^SN"
124,423003,SUPPORT_COMPLAINT,@AmazonHelp M not getting solution from amazon.,1,0.9362901449203491,294791,294793,@AmazonHelp not getting any solution till now,@186217 Please revert to the email you've received from us and we'll check this. ^HN
125,970583,SUPPORT_COMPLAINT,@AmazonHelp Still no call received . Please respond ASAP @AmazonHelp,1,0.9392284154891968,197838,197837,@AmazonHelp No call received yet,@162522 We haven't received your details yet. Please fill the form provided earlier and we'll get back to you. ^SI
126,1136233,SUPPORT_COMPLAINT,"buy something from @115821, seller sends a barrage of emails asking for review.  post an honest review primarily about how you will get harangued by seller to post a review but product is adequate.  @115821 rejects your review, but won't tell you why.  wtf?",1,0.8010493516921997,837481,837479,"@115821 Mail from Amazon rejecting review, with no reason or explanation. https://t.co/7K0lDMNLUh",@319310 My apologies. Your review will not be posted until it meets the review guide lines mentioned here: https://t.co/NL0u2rPBfv ^OS
127,1237563,DELIVERY_FAILURE,Amazon tryna come into your house and put your package on your table meanwhile Fedex rings the bell and is driving off when I open the door.,1,0.7148627042770386,940885,940887,"@AmazonHelp Your system says out for delivery, fedex says it's at the fedex facility.",@296457 I'm sorry we let you down; that's never what we want. Please let us know if it doesn't arrive tomorrow. ^MV
128,1114375,DELIVERY_DELAY,Guests have come and gone and the order remains to make an appearance....@115830 https://t.co/zoUsxCVB6C,1,0.6817401647567749,1217529,1217527,"@AmazonHelp  I don't think this order is gonna make it in time, Amazon. Really hope it arrives today. I've got guests coming. https://t.co/5QHcXu3yXJ",@405692 I understand the concern here! Can you tell us which country the account this was ordered from is in? ^HS
129,1791181,PAYMENT,@AmazonHelp Yes it’s activated it says 30 dollars in my account,1,0.7317058444023132,2972794,2972796,@AmazonHelp So are you going to activate it or...uhm....,@434861 We'd love to take a closer look into this with you via phone or chat here:https://t.co/hApLpMlfHN ^ML
130,1426202,SUPPORT_COMPLAINT,"As said b4, the agent's details are shared 2day, one day""Fake Promise""
Shame @115850 @115821. No-one even had the shame to call and inform https://t.co/2BszaBZW2L",1,0.6584680080413818,746687,746690,@AmazonHelp And each agent has no clue and adds unto the lies the last one told. I spend too much to deal with the lies,@298509 We'd like to have a specialist take a look at this for you. Please provide details here: https://t.co/vs5V4PwOKr ^TR
131,2864719,ORDER_PRODUCT,prime Nowで買い物をする,1,0.7844164967536926,1547245,1547244,"prime now凄い
店員の位置情報まで出てる…！笑",@479071 |ω・).｡oO( ご利用ありがとうございます・・・！無事届きますように！） SK
132,701436,DELIVERY_DELAY,"@AmazonHelp Danke.. ich weiss echt nicht mehr was tun, weil das Paket ja bezahlt wurde und es einfach nur ankommen soll..",1,0.7451281547546387,584558,584556,"@AmazonHelp Danke, wenn morgen hier nichts ankommt werde ich das tun.",@257941 Bitteschön. Immer wieder gerne. Schönen Sonntag noch ^JS
133,2405151,OTHER,"@AmazonHelp I appreciate your help, my email isn't linked to our amazon account so am I to assume that this is a scam email?",1,0.868060827255249,1638695,1638694,@AmazonHelp got this email today.  Looks like a scam.  Could you confirm https://t.co/WGKmcAEYXp,"@383803 We're not able to confirm if we sent it through Twitter, but here are some things to look for: https://t.co/z3ChohMMgM ^ZW"
134,281159,ORDER_PRODUCT,"Amazonの受け取り先を会社にしていると、家に持って帰るとき微妙に困る。ダンボール抱えて帰るのもなんなので。
有料で良いんで紙袋同梱サービスとかやって欲しいな。ちょうど良いサイズのが自動で入ってると嬉しい。
@116313",1,0.7261321544647217,2801421,2801420,"@AmazonHelp わかりますが、同じ表品を2セットで別はやっぱり嫌です…
開けると「入るやん」って思ってしまいますし…
でも、わざわざありがとうございます😊",@781505 とんでもないことでございます。ご意見をお寄せいただき、ありがとうございます。ご指摘いただいた点は担当部署に伝えさせていただき、今後もサービスの改善に努めて参ります。 YM
135,2276362,ORDER_PRODUCT,"@AmazonHelp @115821 @115851 @115850 https://t.co/aYj2ELCXv2

FIRST CHANGE your policies.. I AM witng for earphones since 2 months, n now third time u hv sent wrong color",1,0.8246196508407593,2179011,2179010,@AmazonHelp @115850 they delivered wrong colored @117013  earphones TWICE.. and now refusing to pay refund.WORST SERVICE,"@336585 Sorry about the hassles, Mayank. We'd like a closer look, please drop in the details here: https://t.co/GIJyeYqKE0 ^MS"
136,2725020,OTHER,@AmazonHelp Done. Thanks for the help,1,0.9867449998855591,558476,558474,@AmazonHelp Done. Thanks,@250475 No problem! Let us know if you need help with anything else! ^LS
137,2840225,DELIVERY_FAILURE,"@115821 I'm so disappointed , I placed orders on November 12th &amp; 23rd and both deliveries were screwed up!!",1,0.9001784920692444,1144154,1144153,"@115821 
Deeply disappointed,dismayed &amp; disgusted with Amazon delivery service. Place order on 14th Oct, till date not able 2 deliver.",@389292 Could you confirm if we happened to miss the mentioned time frame? (2/2) ^MO
138,2361839,SUPPORT_COMPLAINT,Hey @115821 can you hire customer service members that understand what they’re doing k thanks,1,0.7024712562561035,1023606,1023604,@115830 how can I speak to or message someone in customer services ???????,@362225 We can help here: https://t.co/JzP7hlA23B Our contact options will be listed at the bottom of the screen after signing in to your account and selecting your concern. ^RA
139,1618370,REFUND,@115850 @AmazonHelp Dropped package 15 days ago to drop off location &amp; no refund yet. Pkg has been picked up already. Support not helping.,1,0.7711213827133179,1481194,1481193,When the customer service rep says @115821 lost my package @AmazonHelp https://t.co/QgXUv6vwXb,@237544 Oh no! Sorry to hear. Are they able to arrange a replacement or a refund? ^PK
140,2303639,DELIVERY_TRACKING,@AmazonHelp @115830 hi I tried to call DHL and I don’t even know if they are my carrier? Please can you help me find my carrier I have lost money on furniture I have not received but have paid for,1,0.659011721611023,2176408,2176409,@AmazonHelp It's not the carrier.  It the WAREHOUSE,@254397 Sorry for the troubles! We'd like to work with you directly about this issue. Please reach us here: https://t.co/hApLpMlfHN ^TH
141,442789,ORDER_PRODUCT,@AmazonHelp Bonjour. Je viens de contacter votre SAV. Réponse totalement inutile. On me dit qu' il y'a 1 rupture de stock. Or j'avais précommandé le livre 3 mois avant sa sortie pour avoir 1 édition signée !,1,0.7654368281364441,93568,93569,@AmazonHelp Oui envoyé et un mail de retour confirme la première bonne réception en m’annonçant la rupture de stock du produit 😱,"@136280 Je comprends parfaitement votre situation, je vous prie de patienter le temps que l'agent prenant en charge votre dossier vous contacte. ^BR"
142,2791903,ORDER_PRODUCT,"@AmazonHelp nossa foram muitos o box do death note, vários da darkside como só os animais salvam, ecos, donnie darko, circo mecânico, o ultimo adeus e +, mindhunter, origem do dan brown, mulher maravilha, (r)evolução das mulheres, trono negro e três coroas negras e alguns ebooks ❤️",1,0.7002412676811218,1451498,1451499,"@AmazonHelp ainda ñ, mas to louco pra ler Donnie Darko e O Segredo dos Corpos","@456830 Lucas, que legal,😄 me diga, você já assistiu o filme? ^HC"
143,2378197,DELIVERY_TRACKING,Your Amazon.in order #171-7600944-4581914 is out for delivery,1,1.0,2308934,2308933,Your Amazon.in order #171-7600944-4581914 is out for delivery,"@669712 Also, please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^EM"
144,2548042,DELIVERY_TRACKING,"@AmazonHelp The link is not working, please tell me where my parcel is and when I am likely to receive it.",1,0.8606770634651184,2285673,2285675,@AmazonHelp So the parcel has not arrived. Where do I go from here?!,@664184 Let's check hereto see what other options we have available: https://t.co/JzP7hlA23B ^JZ
145,603159,DELIVERY_DELAY,@AmazonHelp friday 1st dec was the original delivery date,1,0.8961725831031799,1309600,1309598,"@AmazonHelp The original delivery date was for today, Thursday 10/26",@426047 Which carrier is assigned to deliver your package? You can check that here: https://t.co/Y5jpI9gRhE ^TN
146,743262,DELIVERY_DELAY,"Please, please, please @115821 send me my book... 😭 #everydaywatercolor",1,0.6568602323532104,564944,564943,"@115821 @4888 Hello! I ordered 50 Shades Darker, the book, and it was due Dec 1st. It’s not here at my home. Please assist. 😭😭😭",@252353 We are sorry that your book has not arrived as expected. Have you received an email with an explanation for the delay? ^LM
147,244693,DELIVERY_FAILURE,"@AmazonHelp I am not filling anymore details anywhere,u check the registered account with email id __email__ and work on delivery of one+5",1,0.7951431274414062,2934421,2934422,@AmazonHelp check my account detail 8238240804.,"@803283 We understand you are yet to receive your cashback. However, for us to assist you better, please reach us via the link provided earlier and fill in your details. We'll reach out to you as soon as we receive your information. ^VM"
148,19141,DELIVERY_DELAY,@115850 I am a prime member but i can't get product so fast..,1,0.9072575569152832,999149,999148,@115850 I am a prime member but I don't get my product in 2-3 days.,@356583 You may refer here: https://t.co/piBzHBsqgo  for the benefits provided for Prime membership. ^SG(2/2)
149,206006,PAYMENT,"@AmazonHelp Email confirmation from my bank account. I can’t contact you via that method...my account is closed, remember?",1,0.8245980739593506,319410,319412,@AmazonHelp Now I have received another mail which says that the Amazon account will be closed and the money from my Amazon pay will forefiet. Insane pl,"@192169 Truly sorry for all the hassle, Rishi. Request you to respond to the email correspondence that was sent to you by our team. ^NK"
150,2111015,DELIVERY_TRACKING,"@AmazonHelp Hi, I purchased something 11 business days ago and I haven't received my items yet, I am a PRIME subscriber and when clicking on ""follow up"" shipping it won't deliver any other information.. How can I track it down through AMZMX??",1,0.7044965624809265,1359039,1359041,@AmazonHelp Your new shipping method with the AMZL tracking numbers is worthless if your customers can’t track their packages!,"@436852 Oh no, rick! We want to help. Are you able to track your package through your order details here: https://t.co/Y5jpI9gRhE ^NS"
